transaction_id,date,customer_id,product,region,customer_tier,sales_rep,quantity,list_price,volume_discount,payment_terms,rep_discretionary,freight_waiver,invoice_price,variable_cost
TXN0100000,2024-04-01,CUST1047,Air Filter,Northeast,Silver,Chen,188,39.44,0.0774,0.0215,0.082,0.0301,31.12,20.07
TXN0100001,2024-01-15,CUST1078,Oil Filter,Midwest,Bronze,Davis,183,52.42,0.0508,0.0215,0.0454,0.0315,44.6,27.58
TXN0100002,2024-12-18,CUST1035,Battery,Southwest,Silver,Davis,120,93.83,0.0715,0.0068,0.0859,0.0314,75.48,42.99
TXN0100003,2024-05-14,CUST1107,Oil Filter,Northeast,Standard,Ivanov,142,27.64,0.008,0.0379,0.0495,0.007,24.81,11.14
TXN0100004,2024-08-09,CUST1083,Air Filter,Northeast,Gold,Ivanov,85,94.36,0.1213,0.0141,0.0858,0.0309,70.57,47.06
TXN0100005,2024-04-21,CUST1096,Battery,Midwest,Bronze,Ivanov,208,46.29,0.0217,0.0274,0.0346,0.0036,42.25,23.91
TXN0100006,2024-09-25,CUST1128,Brake Pad,Southeast,Silver,Foster,95,51.91,0.0818,0.021,0.1049,0.0178,40.2,21.1
TXN0100007,2024-10-13,CUST1030,Oil Filter,West,Standard,Chen,116,35.31,0.0491,0.0248,0.0632,0.0351,29.23,16.42
TXN0100008,2024-07-05,CUST1063,Battery,Southwest,Standard,Ivanov,112,71.49,0.0225,0.0112,0.0635,0.0143,63.52,33.63
TXN0100009,2024-03-12,CUST1134,Wiper Blade,Midwest,Silver,Evans,138,62.44,0.0506,0.0223,0.0786,0.0242,51.47,31.07
TXN0100010,2024-08-02,CUST1130,Oil Filter,Midwest,Silver,Garcia,105,34.98,0.084,0.0141,0.0717,0.0198,28.35,17.43
TXN0100011,2024-10-07,CUST1011,Air Filter,Midwest,Standard,Garcia,214,33.17,0.0367,0.0253,0.0157,0.0138,30.13,14.94
TXN0100012,2024-07-05,CUST1055,Brake Pad,Southeast,Silver,Foster,173,54.79,0.0573,0.0222,0.0818,0.0384,43.85,24.88
TXN0100013,2024-05-20,CUST1147,Oil Filter,Midwest,Silver,Garcia,112,13.1,0.0803,0.0107,0.0758,0.0165,10.7,5.4
TXN0100014,2024-01-01,CUST1090,Battery,Northeast,Silver,Ivanov,171,18.03,0.0919,0.0361,0.0682,0.027,14.01,8.81
TXN0100015,2024-03-27,CUST1025,Battery,Midwest,Bronze,Chen,67,94.34,0.0263,0.0264,0.0318,0.034,83.16,36.42
TXN0100016,2024-02-12,CUST1144,Brake Pad,Southwest,Silver,Davis,146,48.03,0.0557,0.0336,0.0873,0.0224,38.47,22.79
TXN0100017,2024-08-15,CUST1023,Spark Plug,Southeast,Silver,Adams,123,17.26,0.0673,0.007,0.0344,0.0013,15.36,7.73
TXN0100018,2024-12-24,CUST1041,Oil Filter,Southwest,Silver,Garcia,198,51.97,0.0926,0.0031,0.042,0.0284,43.34,27.19
TXN0100019,2024-11-16,CUST1092,Wiper Blade,Northeast,Gold,Evans,36,85.91,0.1115,0.0048,0.046,0.0148,70.7,45.85
TXN0100020,2024-05-21,CUST1082,Oil Filter,Southwest,Standard,Davis,186,20.8,0.0018,0.0383,0.0826,0.0209,17.81,9.37
TXN0100021,2024-11-21,CUST1102,Spark Plug,Southeast,Gold,Ivanov,51,38.1,0.1185,0.0146,0.0009,0.0392,31.5,18.83
TXN0100022,2024-09-18,CUST1062,Brake Pad,Northeast,Standard,Chen,141,16.88,0.0365,0.0141,0.0316,0.0138,15.26,9.13
TXN0100023,2024-10-05,CUST1107,Air Filter,Southeast,Bronze,Garcia,223,65.61,0.0485,0.0239,0.0991,0.0119,53.58,35.38
TXN0100024,2024-01-09,CUST1009,Wiper Blade,Northeast,Gold,Hall,110,54.75,0.1043,0.0077,0.0906,0.0131,42.94,29.08
TXN0100025,2024-10-04,CUST1030,Oil Filter,Midwest,Bronze,Foster,93,74.1,0.0499,0.0269,0.0925,0.0077,60.98,33.52
TXN0100026,2024-04-03,CUST1103,Air Filter,Midwest,Standard,Chen,38,30.35,0.0176,0.0193,0.0932,0.027,25.58,11.58
TXN0100027,2024-01-23,CUST1052,Wiper Blade,Southwest,Silver,Garcia,232,37.21,0.0951,0.0051,0.0008,0.016,32.86,16.82
TXN0100028,2024-09-23,CUST1133,Oil Filter,Midwest,Standard,Adams,186,24.12,0.0198,0.0051,0.036,0.0135,22.33,11.66
TXN0100029,2024-12-10,CUST1063,Wiper Blade,Southwest,Bronze,Davis,17,33.33,0.064,0.0047,0.0271,0.0031,30.03,13.11
TXN0100030,2024-10-12,CUST1120,Oil Filter,Northeast,Gold,Ivanov,101,66.38,0.0983,0.0162,0.0277,0.0384,54.39,35.18
TXN0100031,2024-09-10,CUST1125,Air Filter,Northeast,Silver,Davis,5,9.72,0.0604,0.0332,0.0122,0.0053,8.64,4.82
TXN0100032,2024-01-16,CUST1128,Spark Plug,West,Standard,Garcia,47,37.95,0.0483,0.0058,0.0049,0.0157,35.12,17.83
TXN0100033,2024-08-14,CUST1060,Battery,Southeast,Standard,Ivanov,137,45.86,0.0304,0.0342,0.0029,0.0044,42.56,24.02
TXN0100034,2024-06-08,CUST1146,Battery,Southeast,Bronze,Hall,109,47.51,0.0687,0.0109,0.0083,0.019,42.43,19.82
TXN0100035,2024-03-13,CUST1116,Brake Pad,Midwest,Standard,Garcia,4,15.64,0.0232,0.0107,0.046,0.039,13.78,6.96
TXN0100036,2024-05-26,CUST1049,Spark Plug,West,Standard,Foster,38,10.93,0.0443,0.0089,0.0573,0.0044,9.67,5.01
TXN0100037,2024-02-14,CUST1023,Brake Pad,Southeast,Standard,Chen,84,85.33,0.002,0.0214,0.0711,0.0102,76.4,46.21
TXN0100038,2024-11-10,CUST1087,Spark Plug,West,Standard,Adams,214,74.15,0.0293,0.0131,0.0288,0.0382,66.04,34.18
TXN0100039,2024-10-17,CUST1147,Air Filter,Southeast,Bronze,Foster,80,61.98,0.0503,0.0135,0.1046,0.0251,49.99,23.65
TXN0100040,2024-11-02,CUST1086,Oil Filter,West,Bronze,Foster,207,64.52,0.0328,0.0066,0.0857,0.021,55.09,24.89
TXN0100041,2024-09-16,CUST1130,Air Filter,Southeast,Silver,Garcia,76,57.81,0.05,0.0156,0.0746,0.034,47.74,23.37
TXN0100042,2024-07-26,CUST1070,Air Filter,Southwest,Gold,Adams,90,80.08,0.1128,0.0254,0.0704,0.028,61.13,37.09
TXN0100043,2024-09-20,CUST1104,Oil Filter,West,Bronze,Evans,110,28.39,0.0265,0.0227,0.0531,0.0225,24.85,14.72
TXN0100044,2024-12-01,CUST1088,Battery,Midwest,Standard,Davis,123,64.85,0.0319,0.0122,0.0449,0.0188,57.86,33.08
